Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
12544049,2267,2671,-2332,-8,25,-1
12547085,2262,2654,-2327,-8,13,-1
12550121,2265,2638,-2342,-5,23,1
12553071,2261,2672,-2321,-6,9,-1
12556020,2238,2678,-2324,-4,21,-5
12559057,2234,2659,-2368,-4,10,-3
12562154,2272,2646,-2346,-4,20,-7
12565129,2266,2643,-2341,-5,8,-10
12568165,2255,2645,-2331,-7,20,-14
12571288,2258,2626,-2332,-4,8,-13
12574325,2242,2675,-2370,-5,20,-11
12577448,2261,2662,-2357,-1,5,-15
12580484,2277,2675,-2330,-5,14,-17
12583607,2261,2664,-2369,-2,9,-15
12586666,2253,2647,-2349,-4,23,-16
12589766,2253,2669,-2319,-5,5,-22
12592802,2269,2650,-2341,-2,20,-20
12595925,2276,2666,-2342,-6,6,-24
12598997,2268,2636,-2330,-1,22,-17
12602085,2254,2662,-2346,-8,5,-17
12605121,2246,2614,-2362,-4,23,-20
12608244,2250,2673,-2339,-9,8,-19
12611305,2275,2652,-2351,-8,21,-17
12614403,2232,2652,-2352,-11,7,-18
12617526,2252,2652,-2356,-6,16,-18
12620649,2261,2646,-2307,-12,10,-20
12623859,2243,2657,-2316,-12,18,-15
12627069,2238,2643,-2308,-14,8,-16
12630192,2250,2641,-2344,-13,15,-14
12633402,2253,2648,-2306,-15,24,-14
12636636,2261,2660,-2299,-15,7,-19
12639734,2242,2651,-2299,-20,22,-18
12642944,2262,2664,-2306,-17,9,-17
12646067,2242,2650,-2298,-21,21,-14
12649277,2250,2655,-2330,-19,7,-16
12652400,2247,2647,-2304,-9,24,-16
12655523,2272,2639,-2309,-19,8,-16
12658646,2258,2658,-2329,-15,24,-12
12661904,2220,2670,-2310,-18,10,-16
12665065,2238,2667,-2309,-10,21,-9
12668188,2239,2679,-2271,-19,17,-13
12671398,2220,2674,-2318,-9,13,-6
12674434,2240,2666,-2341,-18,20,-13
12677644,2254,2690,-2353,-10,14,-5
12680767,2222,2660,-2312,-15,16,-7
12683890,2233,2675,-2311,-8,19,-3
12686950,2258,2655,-2313,-13,21,-6
12690049,2239,2665,-2318,-6,11,-1
12693085,2247,2647,-2320,-14,21,-3
12696208,2235,2700,-2347,-10,12,-1
12699366,2238,2650,-2326,-12,21,-3
12702454,2245,2644,-2330,-7,11,0
12705404,2248,2643,-2323,-12,20,-2
12708527,2249,2663,-2316,-8,11,1
12711501,2250,2644,-2355,-12,19,0
12714513,2265,2676,-2330,-3,12,-1
12717549,2252,2660,-2297,-10,18,-6
12720672,2252,2637,-2354,-7,14,0
12723621,2234,2652,-2349,-11,21,-7
12726744,2238,2648,-2337,-9,10,-2
12729781,2243,2641,-2338,-8,22,-8
12732817,2252,2672,-2343,-7,10,-6
12735857,2231,2639,-2323,-9,22,-6
12738914,2232,2655,-2320,-7,8,-8
12741839,2279,2644,-2340,-12,22,-4
12744962,2246,2667,-2311,-4,11,-6
12747998,2254,2659,-2332,-10,21,-6
12751121,2248,2665,-2330,-6,11,-8
12754157,2252,2656,-2357,-8,16,-5
12757194,2261,2638,-2346,-5,10,-6
12760230,2275,2661,-2365,-10,15,-9
12763401,2279,2645,-2361,-6,12,-7
