Time,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
653105931,-2704,-152,15980,-109,88,-103
653109487,-2860,-244,16036,-79,73,-55
653112871,-2832,-208,16088,-104,136,-59
653116427,-2856,-204,15996,-100,58,-50
653119897,-2876,-248,16020,-100,190,-79
653123454,-2712,-292,15904,-89,63,-91
653126862,-2848,-260,16040,-62,148,-57
653130307,-2768,-272,15976,-130,113,-72
653133864,-2836,-232,15888,-64,116,-60
653137334,-2828,-204,15968,-125,169,-56
653140891,-2884,-228,15860,-97,50,-73
653144274,-2780,-172,16072,-59,174,-58
653147744,-2760,-252,16028,-95,46,-88
653151176,-2652,-212,16068,-49,109,-21
653154597,-2780,-216,15920,-95,92,-71
653157980,-2816,-276,16100,-68,120,-61
653161451,-2844,-192,15804,-127,163,-102
653165094,-2788,-164,16036,-101,42,-94
653168564,-2700,-132,16172,-62,170,-57
653172034,-2792,-200,15864,-117,42,-75
653175527,-2768,-176,15936,-66,99,-55
653178887,-2820,-184,16068,-134,93,-77
653182357,-2820,-284,15900,-87,37,-25
653185775,-2816,-200,15928,-106,174,-60
653189297,-2776,-244,15964,-92,45,-70
653192680,-2752,-324,15936,-86,169,-70
653196150,-2844,-216,16020,-93,82,-79
653199558,-2808,-276,15960,-62,127,-39
653203004,-2776,-200,16024,-117,157,-55
653206560,-2940,-240,16080,-65,48,-69
653209944,-2784,-268,15924,-63,191,-34
653213414,-2896,-232,16028,-102,40,-71
653216884,-2796,-240,15936,-52,127,-50
653220354,-2868,-104,16016,-115,76,-65
653223827,-2764,-284,15972,-83,54,-35
653227232,-2804,-200,16040,-120,162,-59
653230764,-2784,-200,16020,-90,59,-20
653234147,-2816,-212,15928,-66,157,-72
653237617,-2796,-184,16100,-74,45,-83
653241000,-2764,-184,15936,-66,107,-43
653244470,-2920,-212,15876,-122,77,-88
653247940,-2736,-156,16236,-83,76,-73
653251372,-2780,-156,15912,-125,148,-63
653254880,-2876,-228,15984,-98,58,-71
653258263,-2916,-272,16032,-79,198,-44
653261733,-2748,-172,16084,-110,66,-93
653265204,-2928,-208,16048,-62,100,-40
653268673,-2836,-200,16056,-120,122,-82
653272230,-2880,-184,16000,-44,108,-46
653275724,-2752,-232,15948,-85,181,-74
653279170,-2892,-312,15980,-98,50,-50
653282554,-2752,-244,15884,-97,168,-52
653286059,-2728,-152,15948,-117,54,-65
653289493,-2844,-200,16036,-56,157,-72
653292964,-2784,-240,16048,-102,99,-79
653296434,-2808,-204,15916,-63,89,-49
653299841,-2784,-276,16012,-123,188,-72
653303374,-2816,-264,15968,-58,66,-74
653306757,-2732,-192,16076,-73,153,-57
653310227,-2848,-228,15952,-101,68,-92
653313697,-2836,-244,15984,-67,108,-41
653317167,-2776,-168,15976,-117,113,-80
653320723,-2908,-272,16056,-84,50,-51
